ECKSTEIN PL AT WADSWORTH ST,40.436666, -79.975584, oakland
OAK HILL DR AT BENTLEY DR,40.436666, -79.975584, oakland
BEDFORD AVE OPP ERIN ST,40.447895, -79.988696, strip 
FIFTH AVE AT #2358,40.436666, -79.975584, oakland
ELLSWORTH AVE AT COLLEGE ST,40.449981, -79.937537, shadyside
FRIENDSHIP AVE AT EDMOND ST,40.453469, -79.955240, oakland
BLVD OF ALLIES AT DAWSON ST FS,40.439379, -79.962131, oakland
BLVD OF ALLIES AT CRAFT AVE,40.436544, -79.966343, oakland
BRYN MAWR RD AT ANDOVER TERR,40.453469, -79.955240, oakland
SMITHFIELD ST AT FORBES AVE,40.437330, -80.007558, downtown
BEECHWOOD BLVD AT PARKWAY ENTRANCE,40.429166, -79.935796, squill
FORBES AVE OPP HAMBURG HALL,40.437915, -79.954317, oakland
TERRACE ST AT SUTHERLAND DR,40.436486, -79.971893, oakland
CENTRE AVE AT WATT ST,40.436666, -79.975584, oakland
MILLVALE AVE AT CENTRE AVE FS,40.453469, -79.955240, oakland
FIFTH AVE AT BELLEFIELD AVE,40.437016, -79.959789, oakland
GRANT ST AT POST OFFICE,40.444420, -79.995385, strip
FORBES AVE AT BOUQUET ST FS,40.439379, -79.962131, oakland
LIBERTY AVE AT 39TH ST,40.453469, -79.955240, oakland
BRYN MAWR RD OPP ANDOVER TERR,40.453469, -79.955240, oakland
REED ST AT ADDISON ST,40.436666, -79.975584, oakland
FIFTH AVE AT NEVILLE ST,40.447303, -79.948996, shadyside
GRANT ST AT STRAWBERRY WAY (US STEEL TOWER),40.444420, -79.995385, strip
JANCEY ST AT HAMPTON ST,40.468905, -79.932637, east_liberty
SIXTH AVE AT CENTRE AVE,40.444420, -79.995385, strip
E CARSON ST OPP ARLINGTON AVE,40.434499, -80.002550, downtown
LIBERTY AVE AT 11TH ST (GREYHOUND),40.444420, -79.995385, strip
CENTRE AVE AT CIVIC ARENA EAST LOT,40.444420, -79.995385, strip
BEDFORD AVE AT KIRKPATRICK ST,40.452255, -79.981337, strip
MILLVALE AVE AT MOREWOOD AVE,40.453469, -79.955240, oakland
PENN AVE AT FAIRMOUNT ST,40.468905, -79.932637, east_liberty
9TH ST AT PENN AVE,40.437330, -80.007558, downtown
DEVILLIERS ST AT CENTRE AVE,40.447895, -79.988696, strip 
LIBERTY AVE AT CANOE WAY,40.453469, -79.955240, oakland
SHADY AVE AT DOUGLAS ST,40.428579, -79.922383, squill
LIBERTY AVE AT WILLIAM PENN PL,40.444420, -79.995385, strip
WILKINS AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
AIKEN AVE AT KINCAID ST,40.468905, -79.932637, east_liberty
SMITHFIELD ST AT THIRD AVE,40.437330, -80.007558, downtown
FIFTH AVE AT BELLEFIELD AVE,40.437016, -79.959789, oakland
